number,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Other Territories,Total
1,0.09740063323119912,0.10255235271262869,0.09907525669558548,0.12389402828574142,0.09848983388038475,0.13527011376059403,0.08352959405020143,0.10548859091459989,0.11680092059838895,0.10189727235238757
2,0.24503171580715713,0.2523118885628925,0.2727459309318907,0.287722236112484,0.26143585003827197,0.31065409635554786,0.2090434872430534,0.25775663555932615,0.2773302646720368,0.25851791620786646
3,0.18327959485007447,0.18732077879250916,0.18526500514262803,0.18399428367274026,0.18606264793763033,0.18040200461103834,0.16747236855696726,0.1968301362920197,0.17088607594936708,0.18507051980384298
4,0.24163656429183028,0.24950256505434418,0.23149357026224499,0.23218896958161886,0.2486363231702707,0.21042570924480716,0.20670901766346453,0.2581092099029319,0.179228998849252,0.24094194219717488
5,0.13535935299145832,0.1289679139632357,0.12427006641834844,0.110318397102556,0.12716406666258073,0.10306211912931473,0.12598388596219398,0.11840988971033814,0.12974683544303797,0.12779099901683347
6,0.05988818711494432,0.05056563321739445,0.05401305123452127,0.039876680317886715,0.04965649167433523,0.040611774383841885,0.07057638673690735,0.04287359107986911,0.06904487917146145,0.05322857510433296
7,0.020138586410511864,0.015515334938921758,0.017553736104735287,0.01235781055879554,0.015586156236453264,0.011308950393453624,0.034686499328581755,0.012538425094478906,0.023878020713463753,0.017223181967484714
8,0.017265365302824513,0.01326353275807352,0.015583383210045848,0.009647594368177217,0.01296863040007301,0.008265232121402361,0.10199876045863031,0.007993521446436244,0.03308400460299195,0.015329593350076963
